constituency,party,slNo,criminal,incumbent,symbol,name,gender,id,education,age,image,profession,assets,minister,alliance,acNo
Ambattur,IND,21,0,False,Ship,Vinayagamoorthy.R,Male,90128,12th Grade (HSC / +2),35,,,₹42.70 L,,independent,8
Ambattur,IND,22,0,False,Matchbox,S.Janarthanan,Male,90129,Bachelor's Degree,32,,,₹11.92 L,,independent,8
Ambattur,IND,23,0,False,Balloon,Jothi.M,Female,90130,10th Grade (SSLC),41,,,₹7.35 L,,independent,8
Madavaram,NTK,1,0,False,Farmer Carrying Plough,E.Krithika,Female,90131,Bachelor's Degree,28,,,₹40.88 L,,ntk,9
Madavaram,DMK,2,0,False,Rising sun,S.Sudharsanam,Male,90132,Bachelor's Degree,67,,,₹43.20 Cr,,spa,9
Madavaram,AIADMK,3,0,False,Two leaves,Madhavaram V.Moorthy,Male,90133,Bachelor's Degree,67,,,₹16.03 L,,nda,9
Madavaram,BSP,4,0,False,Elephant,N.Janakiraman,Male,90134,Bachelor's Degree,53,,,₹7.05 L,,others,9
Madavaram,TAVK,5,0,False,Camera,R.Karthikeyan,Male,90135,Bachelor's Degree,51,,,₹6.40 L,,others,9
Madavaram,NMK,6,0,False,Pen nib with seven rays,I.Raffik,Male,90136,Bachelor's Degree,40,,,₹1.08 L,,others,9
Madavaram,TVK,7,0,False,Whistle,M.L.Vijayprabhu,Male,90137,Bachelor's Degree,37,,,₹55.26 L,,tvk,9
Madavaram,IND,8,0,False,Chain,S.Sivakumar,Male,90138,Bachelor's Degree,54,,,₹7.19 L,,independent,9
Madavaram,IND,9,0,False,Diamond,Sudarsanam,Male,90139,Not Specified,67,,,₹3.49 L,,independent,9
Madavaram,IND,10,0,False,Peas,A.Nagarajan,Male,90140,Not Specified,39,,,"₹3,000",,independent,9
Madavaram,IND,11,0,False,Ship,R.S.Balaji,Male,90141,Diploma / ITI,53,,,₹5.45 L,,independent,9
Madavaram,IND,12,0,False,Tooth brush,G.Prabu,Male,90142,Diploma / ITI,40,,,"₹4,000",,independent,9
Madavaram,IND,13,0,False,Saw,A.Ponnalagan,Male,90143,Not Specified,60,,,"₹24,000",,independent,9
Madavaram,IND,14,0,False,Electric pole,C.Moorthy,Male,90144,Not Specified,42,,,"₹11,500",,independent,9
